Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P0AG96,13616.70772,Preprotein translocase subunit SecE OS=Escherichia coli (strain K12) GN=secE PE=1 SV=1,secE,174,114
P0A8Z3,15533.91918,Acyl-CoA thioester hydrolase YbgC OS=Escherichia coli (strain K12) GN=ybgC PE=1 SV=1,ybgC,16,79
P0A8H8,7283.40821,UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1,yacG,256,151
P52096,14709.3447,Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1,yaeR,23,89
P37613,14478.34645,Uncharacterized protein yhhK OS=Escherichia coli (strain K12) GN=yhhK PE=1 SV=1,yhhK,251,70
P69801,27599.68299,Mannose permease IIC component OS=Escherichia coli (strain K12) GN=manY PE=1 SV=1,manY,293,202
P0ADC6,39574.75967,Lipopolysaccharide export system permease protein lptG OS=Escherichia coli (strain K12) GN=lptG PE=1 SV=1,lptG,89,56
P37194,20932.71853,Outer membrane protein slp OS=Escherichia coli (strain K12) GN=slp PE=1 SV=1,slp,4,6
P19934,43112.47725,Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1,tolA,106,94
P0AAX3,8544.38689,Uncharacterized protein YbiJ OS=Escherichia coli (strain K12) GN=ybiJ PE=3 SV=1,ybiJ,15,155
P31475,26041.25646,Uncharacterized HTH-type transcriptional regulator yieP OS=Escherichia coli (strain K12) GN=yieP PE=4 SV=3,yieP,132,53
P0AEG1,32269.29171,Dipeptide transport system permease protein dppC OS=Escherichia coli (strain K12) GN=dppC PE=1 SV=1,dppC,42,90
P15373,12333.17817,Antitoxin PrlF OS=Escherichia coli (strain K12) GN=sohA PE=1 SV=1,sohA,114,78
P0ACL0,28012.40604,Glycerol-3-phosphate regulon repressor OS=Escherichia coli (strain K12) GN=glpR PE=1 SV=1,glpR,4,1
P0A8J2,19425.00867,Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2,dnaT,138,93
P76539,16283.10396,Acetyltransferase YpeA OS=Escherichia coli (strain K12) GN=ypeA PE=3 SV=2,ypeA,67,40
P0AA47,49487.01122,Inner membrane transport protein YeeF OS=Escherichia coli (strain K12) GN=yeeF PE=1 SV=1,yeeF,57,42
P0AAV4,23913.50252,Uncharacterized protein ybgJ OS=Escherichia coli (strain K12) GN=ybgJ PE=4 SV=1,ybgJ,63,78
P67697,15218.98275,Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2,hicB,25,56
P0A6I9,22589.85479,Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1,coaE,58,64
P0A944,16581.3683,Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) GN=rimI PE=3 SV=1,rimI,90,46
P76402,11998.96227,UPF0339 protein yegP OS=Escherichia coli (strain K12) GN=yegP PE=1 SV=2,yegP,1,6
P64564,21134.83764,Uncharacterized protein yggT OS=Escherichia coli (strain K12) GN=yggT PE=3 SV=1,yggT,26,34
P0AAS0,18237.49967,Inner membrane protein ylaC OS=Escherichia coli (strain K12) GN=ylaC PE=1 SV=2,ylaC,602,94
P22186,17356.92635,Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1,mraZ,16,48
P13857,20649.48074,Ribosomal-protein-serine acetyltransferase OS=Escherichia coli (strain K12) GN=rimL PE=1 SV=1,rimL,49,49
Q5H776,27977.37842,Gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Escherichia coli (strain K12) GN=puuD PE=4 SV=1,puuD,9,67
P0AGJ2,25308.74949,tRNA guanosine-2'-O-methyltransferase OS=Escherichia coli (strain K12) GN=trmH PE=1 SV=1,trmH,97,65
P0A8Y1,25266.64985,Pyrimidine 5'-nucleotidase YjjG OS=Escherichia coli (strain K12) GN=yjjG PE=1 SV=1,yjjG,64,12
P45531,13018.79152,Protein tusC OS=Escherichia coli (strain K12) GN=tusC PE=1 SV=1,tusC,51,69
P76561,24821.4456,Esterase YpfH OS=Escherichia coli (strain K12) GN=ypfH PE=3 SV=2,ypfH,43,43
P0AEX3,47003.44462,Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1,kgtP,54,45
P63386,29060.05549,Probable phospholipid import ATP-binding protein MlaF OS=Escherichia coli (strain K12) GN=mlaF PE=1 SV=1,mlaF,102,57
P21369,23329.25303,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,pncA,61,38
P29208,35436.28815,o-succinylbenzoate synthase OS=Escherichia coli (strain K12) GN=menC PE=1 SV=2,menC,26,6
P07117,54290.62984,Sodium/proline symporter OS=Escherichia coli (strain K12) GN=putP PE=1 SV=1,putP,100,42
P0AG84,31450.32209,Uncharacterized oxidoreductase yghA OS=Escherichia coli (strain K12) GN=yghA PE=1 SV=1,yghA,1,4
P76502,17178.5693,Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1,sixA,54,37
P64448,6817.65486,Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1,ynbE,59,55
P0AEN4,13600.25765,Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1,ftsL,53,33
P0A9W0,27566.3263,HTH-type transcriptional regulator ulaR OS=Escherichia coli (strain K12) GN=ulaR PE=1 SV=1,ulaR,51,31
P0AGA6,20857.9082,Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1,uhpA,25,37
P0ACZ4,22657.79834,Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1,evgA,57,29
Q47083,35815.80719,HTH-type transcriptional regulator cbl OS=Escherichia coli (strain K12) GN=cbl PE=1 SV=2,cbl,4,35
P37750,21643.43555,Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2,wbbJ,101,30
P0A881,12329.43056,Trp operon repressor OS=Escherichia coli (strain K12) GN=trpR PE=1 SV=2,trpR,57,42
P13001,28468.85214,Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1,bioH,43,40
P31064,44381.3142,UPF0394 inner membrane protein yedE OS=Escherichia coli (strain K12) GN=yedE PE=1 SV=1,yedE,6,15
P0A9G4,15207.58712,HTH-type transcriptional regulator CueR OS=Escherichia coli (strain K12) GN=cueR PE=1 SV=1,cueR,29,38
P0C066,40069.49319,Membrane-bound lytic murein transglycosylase C OS=Escherichia coli (strain K12) GN=mltC PE=2 SV=1,mltC,23,39
P37671,31028.83427,HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1,yiaJ,27,30
P52119,10764.80442,UPF0125 protein yfjF OS=Escherichia coli (strain K12) GN=yfjF PE=1 SV=1,yfjF,75,51
P0ACL2,29798.93423,Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1,exuR,70,28
P0A9F9,35588.55525,HTH-type transcriptional regulator metR OS=Escherichia coli (strain K12) GN=metR PE=4 SV=1,metR,1,25
Q46893,25703.19589,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Escherichia coli (strain K12) GN=ispD PE=1 SV=3,ispD,47,33
P0AC65,9115.52639,Glutaredoxin-like protein nrdH OS=Escherichia coli (strain K12) GN=nrdH PE=1 SV=1,nrdH,18,48
P0A752,24494.56589,Nicotinate-nucleotide adenylyltransferase OS=Escherichia coli (strain K12) GN=nadD PE=1 SV=1,nadD,46,21
P68567,26914.24722,UPF0341 protein yhiQ OS=Escherichia coli (strain K12) GN=yhiQ PE=1 SV=1,yhiQ,59,24
P64467,8393.29455,OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1,cnu,181,65
P14176,37577.3499,Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1,proW,857,14
P0A6M2,20110.56132,Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1,dsbB,61,69
P37595,33354.63774,Isoaspartyl peptidase OS=Escherichia coli (strain K12) GN=iaaA PE=1 SV=2,iaaA,12,24
P0AFH2,33403.19892,Oligopeptide transport system permease protein oppB OS=Escherichia coli (strain K12) GN=oppB PE=1 SV=1,oppB,35,174
P76046,52558.10385,Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1,ycjX,41,28
P36771,34553.72226,Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2,lrhA,59,29
P31069,46015.20671,Putative potassium channel protein OS=Escherichia coli (strain K12) GN=kch PE=1 SV=1,kch,34,22
P31130,14094.21224,Uncharacterized protein ydeI OS=Escherichia coli (strain K12) GN=ydeI PE=4 SV=1,ydeI,19,7
P37642,37869.22146,Inner membrane protein yhjD OS=Escherichia coli (strain K12) GN=yhjD PE=1 SV=1,yhjD,13,11
P17802,39105.98291,A/G-specific adenine glycosylase OS=Escherichia coli (strain K12) GN=mutY PE=1 SV=1,mutY,25,31
P0ABS8,8822.69947,DNA polymerase III subunit theta OS=Escherichia coli (strain K12) GN=holE PE=1 SV=1,holE,52,41
P0ADX9,21646.15383,Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1,rsmD,28,22
Q46925,43188.95647,Cysteine sulfinate desulfinase OS=Escherichia coli (strain K12) GN=csdA PE=1 SV=1,csdA,26,24
P26647,27417.49715,1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsC PE=1 SV=1,plsC,24,15
P29680,39204.89119,Uroporphyrinogen decarboxylase OS=Escherichia coli (strain K12) GN=hemE PE=1 SV=3,hemE,34,20
P77223,20511.99944,Electron transport complex protein rnfB OS=Escherichia coli (strain K12) GN=rnfB PE=3 SV=1,rnfB,36,21
P76541,22755.48307,Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1,eutL,34,22
P0C093,22804.05574,HTH-type protein slmA OS=Escherichia coli (strain K12) GN=slmA PE=1 SV=1,slmA,47,24
P15038,77909.49086,Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2,helD,11,14
P0ADE4,64738.07628,Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1,ytfM,30,16
P0AA63,24551.31261,Inner membrane protein YqjA OS=Escherichia coli (strain K12) GN=yqjA PE=1 SV=1,yqjA,7,5
P0ACK5,28511.57257,Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1,deoR,24,24
P03007,27063.74021,DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1,dnaQ,36,20
P0AEQ6,24330.54365,Glutamine transport system permease protein glnP OS=Escherichia coli (strain K12) GN=glnP PE=1 SV=1,glnP,2,1
P36673,34490.8725,HTH-type transcriptional regulator treR OS=Escherichia coli (strain K12) GN=treR PE=1 SV=2,treR,8,16
P0AC75,47243.52646,3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain K12) GN=waaA PE=3 SV=1,waaA,13,13
P37631,43695.37296,Uncharacterized protein yhiN OS=Escherichia coli (strain K12) GN=yhiN PE=4 SV=3,yhiN,35,17
P24228,51747.53005,D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2,dacB,25,20
P64606,27827.06062,Probable phospholipid ABC transporter permease protein mlaE OS=Escherichia coli (strain K12) GN=mlaE PE=1 SV=1,mlaE,32,15
P06846,36169.89052,HTH-type transcriptional regulator ebgR OS=Escherichia coli (strain K12) GN=ebgR PE=4 SV=2,ebgR,27,19
P75959,33003.5642,N-acetyl-D-glucosamine kinase OS=Escherichia coli (strain K12) GN=nagK PE=1 SV=1,nagK,35,21
P04994,51782.2337,Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2,xseA,16,17
P0A7Y4,17567.83941,Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1,rnhA,22,15
P15082,28200.37293,Glucitol operon repressor OS=Escherichia coli (strain K12) GN=srlR PE=2 SV=1,srlR,38,16
P27278,47297.7538,Trifunctional NAD biosynthesis/regulator protein NadR OS=Escherichia coli (strain K12) GN=nadR PE=1 SV=2,nadR,18,13
P77213,41643.68948,Carboxylate-amine ligase YbdK OS=Escherichia coli (strain K12) GN=ybdK PE=1 SV=1,ybdK,0,1
P62552,8349.064,Protein CcdA OS=Escherichia coli (strain K12) GN=ccdA PE=1 SV=1,ccdA,3,42
P0AB83,23529.40171,Endonuclease III OS=Escherichia coli (strain K12) GN=nth PE=1 SV=1,nth,32,18
P23305,26693.89682,Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1,yigA,21,13
P0AFJ5,26398.404,Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1,phoB,35,20
P0AFA7,56673.40997,Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1,nhaB,38,7
P31460,26045.27197,Galactonate operon transcriptional repressor OS=Escherichia coli (strain K12) GN=dgoR PE=4 SV=4,dgoR,16,7
P26365,47937.87141,N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2,amiB,6,7
P0AEJ6,49353.63876,Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1,eutB,24,17
P0AD01,27452.90703,Transcriptional regulatory protein dcuR OS=Escherichia coli (strain K12) GN=dcuR PE=1 SV=1,dcuR,30,15
P32138,77207.48596,Alpha-glucosidase yihQ OS=Escherichia coli (strain K12) GN=yihQ PE=3 SV=3,yihQ,17,11
P28631,36895.11788,DNA polymerase III subunit delta' OS=Escherichia coli (strain K12) GN=holB PE=1 SV=2,holB,19,11
P00811,41511.40147,Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1,ampC,16,12
P0AAZ4,49577.22431,Replication-associated recombination protein A OS=Escherichia coli (strain K12) GN=rarA PE=1 SV=1,rarA,16,10
P77399,77005.72935,Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1,fadJ,13,7
P50456,44270.25484,Protein mlc OS=Escherichia coli (strain K12) GN=mlc PE=1 SV=2,mlc,18,40
Q46927,28525.62512,Uncharacterized protein ygdL OS=Escherichia coli (strain K12) GN=ygdL PE=3 SV=1,ygdL,18,11
P28306,38205.32134,UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2,yceG,11,7
P05707,27822.12075,Sorbitol-6-phosphate 2-dehydrogenase OS=Escherichia coli (strain K12) GN=srlD PE=1 SV=2,srlD,57,9
P0ACN7,37777.32841,HTH-type transcriptional repressor CytR OS=Escherichia coli (strain K12) GN=cytR PE=1 SV=1,cytR,23,6
P0AE72,9331.88444,Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1,mazE,21,11
P37685,56252.47906,Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,8,0
P0A6W3,39830.55502,Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1,mraY,8,6
P33650,84400.82244,Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1,feoB,29,8
P0A8P8,34207.09259,Tyrosine recombinase xerD OS=Escherichia coli (strain K12) GN=xerD PE=1 SV=1,xerD,18,10
P0AD37,12693.80872,Uncharacterized protein yfeC OS=Escherichia coli (strain K12) GN=yfeC PE=4 SV=1,yfeC,82,9
P0A6H8,54768.54586,Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1,cls,9,7
P25740,42239.46311,Lipopolysaccharide core biosynthesis protein rfaG OS=Escherichia coli (strain K12) GN=rfaG PE=1 SV=1,rfaG,6,6
P76297,14032.43491,Flagellar protein flhE OS=Escherichia coli (strain K12) GN=flhE PE=3 SV=1,flhE,50,23
P00936,97506.18956,Adenylate cyclase OS=Escherichia coli (strain K12) GN=cyaA PE=3 SV=5,cyaA,4,2
P23930,57011.19269,Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1,lnt,2,2
P39356,36070.68919,Uncharacterized transcriptional regulator yjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2,yjhU,9,6
P0AD44,27312.92855,Uncharacterized protein yfhG OS=Escherichia coli (strain K12) GN=yfhG PE=4 SV=1,yfhG,10,7
P30864,33736.61375,Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1,yafC,6,7
P30870,108332.1443,Glutamate-ammonia-ligase adenylyltransferase OS=Escherichia coli (strain K12) GN=glnE PE=1 SV=2,glnE,3,5
P76339,50800.08527,Putative sensor-like histidine kinase yedV OS=Escherichia coli (strain K12) GN=yedV PE=1 SV=1,yedV,2,3
P0A6E9,24947.35565,Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1,ynfK,15,3
P39405,30075.33488,Ferric iron reductase protein fhuF OS=Escherichia coli (strain K12) GN=fhuF PE=1 SV=1,fhuF,0,5
P26608,14922.65837,Flagellar protein fliS OS=Escherichia coli (strain K12) GN=fliS PE=3 SV=1,fliS,171,149
P77433,25178.92327,Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2,ykgG,114,5
Q47622,61508.41287,Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1,sapA,19,9
P0AGI1,33412.39622,Ribose transport system permease protein rbsC OS=Escherichia coli (strain K12) GN=rbsC PE=1 SV=1,rbsC,33,5
P27837,50347.6544,Probable transport protein YifK OS=Escherichia coli (strain K12) GN=yifK PE=1 SV=4,yifK,2,5
P21345,47110.82199,Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2,gltP,13,5
P0A915,22895.28127,Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1,ompW,89,10
P05523,30252.88552,Formamidopyrimidine-DNA glycosylase OS=Escherichia coli (strain K12) GN=mutM PE=1 SV=3,mutM,20,5
P31119,80630.57813,Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2,aas,11,5
P75933,23486.51577,Flagella basal body P-ring formation protein flgA OS=Escherichia coli (strain K12) GN=flgA PE=3 SV=1,flgA,360,124
P0ACE0,62433.71435,Hydrogenase-2 large chain OS=Escherichia coli (strain K12) GN=hybC PE=1 SV=2,hybC,41,5
P0A8G0,68127.44655,UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1,uvrC,4,4
P08201,93044.21918,Nitrite reductase [NAD(P)H] large subunit OS=Escherichia coli (strain K12) GN=nirB PE=3 SV=4,nirB,7,4
P23367,67863.65578,DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2,mutL,2,3
P75745,34346.5056,Uncharacterized protein ybgK OS=Escherichia coli (strain K12) GN=ybgK PE=4 SV=1,ybgK,3,4
P0AD68,63819.49979,Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1,ftsI,6,2
P52627,21626.05807,Regulator of sigma S factor FliZ OS=Escherichia coli (strain K12) GN=fliZ PE=2 SV=1,fliZ,305,343
P13959,9580.07437,Replication regulatory protein RepA2 OS=Escherichia coli (strain K12) GN=repA2 PE=4 SV=1,repA,0,0
P0ACK8,27327.20472,L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1,fucR,45,6
P25552,54818.60416,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase OS=Escherichia coli (strain K12) GN=gppA PE=1 SV=3",gppA,0,2
P23524,39061.92045,Glycerate kinase 2 OS=Escherichia coli (strain K12) GN=garK PE=1 SV=2,garK,38,6
P31545,46706.90191,Peroxidase ycdB OS=Escherichia coli (strain K12) GN=ycdB PE=1 SV=2,ycdB,3,7
P24230,76364.17226,ATP-dependent DNA helicase recG OS=Escherichia coli (strain K12) GN=recG PE=1 SV=1,recG,4,2
P0A8T5,11101.54619,Flagellar hook-basal body complex protein FliE OS=Escherichia coli (strain K12) GN=fliE PE=3 SV=2,fliE,26,19
P77181,21293.07482,Phenylacetic acid degradation protein paaY OS=Escherichia coli (strain K12) GN=paaY PE=3 SV=1,paaY,9,2
P0ABX2,13941.10886,Flagellar basal-body rod protein flgC OS=Escherichia coli (strain K12) GN=flgC PE=3 SV=1,flgC,243,115
P31441,63681.13247,Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2,ade,22,2
P27129,38997.39762,"Lipopolysaccharide 1,2-glucosyltransferase OS=Escherichia coli (strain K12) GN=rfaJ PE=1 SV=2",rfaJ,6,3
P51025,31386.32333,S-formylglutathione hydrolase frmB OS=Escherichia coli (strain K12) GN=frmB PE=1 SV=2,frmB,5,2
P0A6L7,54756.14891,Altronate oxidoreductase OS=Escherichia coli (strain K12) GN=uxaB PE=1 SV=1,uxaB,29,1
P37387,35693.7284,D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1,xylF,16,4
P0AER5,24880.39453,Glutamate/aspartate transport system permease protein gltK OS=Escherichia coli (strain K12) GN=gltK PE=1 SV=1,gltK,0,1
P0AFR2,59372.31706,Putative sulfate transporter ychM OS=Escherichia coli (strain K12) GN=ychM PE=1 SV=2,ychM,18,1
P23200,35509.23597,Galactoside transport system permease protein mglC OS=Escherichia coli (strain K12) GN=mglC PE=1 SV=1,mglC,20,0
P75906,77346.20831,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Escherichia coli (strain K12) GN=pgaB PE=1 SV=1",pgaB,0,7
P18355,8489.21709,Uncharacterized protein in traD-traI intergenic region OS=Escherichia coli (strain K12) PE=3 SV=1,#VALUE!,1,4
P0ACU5,24370.6225,HTH-type transcriptional repressor fabR OS=Escherichia coli (strain K12) GN=fabR PE=1 SV=1,fabR,12,15
P76097,50992.62968,Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1,ydcJ,1,1
P56580,33292.82514,Glucitol/sorbitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=srlE PE=1 SV=1,srlE,68,0
P0AEL0,24572.12915,"Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1",fdoI,4,1
P0AEP9,53759.593,Glycolate oxidase subunit glcD OS=Escherichia coli (strain K12) GN=glcD PE=3 SV=1,glcD,2,0
P52614,39270.01569,Flagellar hook-length control protein OS=Escherichia coli (strain K12) GN=fliK PE=3 SV=1,fliK,13,0
P0ADB7,4788.51531,Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1,ecnB,2224,6181
P0ADA7,6925.61897,Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1,osmB,584,1119
P33014,8125.05516,UPF0033 protein yeeD OS=Escherichia coli (strain K12) GN=yeeD PE=3 SV=1,yeeD,628,4792
P0A937,12276.16819,Small protein A OS=Escherichia coli (strain K12) GN=smpA PE=1 SV=1,smpA,1903,1865
C9M2Y6,35380.37249,CRISPR-associated protein cas1 OS=Lactobacillus helveticus DSM 20075 GN=cas1 PE=4 SV=1,cas1,4545,2241
P64503,8729.18209,Uncharacterized protein yebV OS=Escherichia coli (strain K12) GN=yebV PE=4 SV=1,yebV,5,86
P0C0L9,7708.63154,Protein iscX OS=Escherichia coli (strain K12) GN=iscX PE=1 SV=1,iscX,1084,637
P0A898,17496.46109,Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1,ybeY,890,608
P0AA31,8615.38263,UPF0033 protein yedF OS=Escherichia coli (strain K12) GN=yedF PE=1 SV=1,yedF,206,376
P0A6D0,16965.84566,Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1,argR,675,574
P0AES9,11832.1397,Chaperone-like protein hdeA OS=Escherichia coli (strain K12) GN=hdeA PE=1 SV=1,hdeA,266,126
P0A7Q6,4343.43911,50S ribosomal protein L36 OS=Escherichia coli (strain K12) GN=rpmJ PE=1 SV=1,rpmJ,11005,838
P64476,7243.81714,Uncharacterized protein ydiH OS=Escherichia coli (strain K12) GN=ydiH PE=4 SV=2,ydiH,32,112
P19930,21514.76065,Hydrogenase 1 maturation protease OS=Escherichia coli (strain K12) GN=hyaD PE=3 SV=1,hyaD,11,212
P0ACY9,10692.27498,Uncharacterized protein yebG OS=Escherichia coli (strain K12) GN=yebG PE=4 SV=1,yebG,525,288
P32162,10751.22245,UPF0381 protein yiiS OS=Escherichia coli (strain K12) GN=yiiS PE=1 SV=1,yiiS,123,91
P0AGG4,15526.69435,Thioredoxin-2 OS=Escherichia coli (strain K12) GN=trxC PE=1 SV=1,trxC,253,148
P68688,9660.76081,Glutaredoxin-1 OS=Escherichia coli (strain K12) GN=grxA PE=1 SV=1,grxA,148,149
P0AAV6,12845.9355,Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1,ybgS,36,32
P0ADQ7,12262.07752,Uncharacterized protein ygaM OS=Escherichia coli (strain K12) GN=ygaM PE=4 SV=1,ygaM,6,15
P76164,8702.8156,Uncharacterized protein ydfW in Qin prophage region OS=Escherichia coli (strain K12) GN=ydfW PE=5 SV=2,ydfW,2,140
P0AFX7,24287.99697,Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1,rseA,153,135
Q46919,12760.34477,Uncharacterized protein yqcC OS=Escherichia coli (strain K12) GN=yqcC PE=1 SV=1,yqcC,266,93
P0AEH3,17390.65594,Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1,elaA,75,83
P32685,10507.58832,Uncharacterized protein yjbD OS=Escherichia coli (strain K12) GN=yjbD PE=4 SV=1,yjbD,486,93
P77667,13273.47858,Protein sufA OS=Escherichia coli (strain K12) GN=sufA PE=1 SV=1,sufA,20,70
P0ABJ6,12003.07821,Cytochrome o ubiquinol oxidase protein CyoD OS=Escherichia coli (strain K12) GN=cyoD PE=1 SV=1,cyoD,516,139
P0ABR1,8925.50991,DNA-damage-inducible protein I OS=Escherichia coli (strain K12) GN=dinI PE=1 SV=1,dinI,181,118
P18393,8247.87699,Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1,ybdZ,28,113
P31677,53559.78131,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3",otsA,16,24
P0ABG1,31415.04641,Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2,cdsA,106,59
P42599,36173.29961,Uncharacterized oxidoreductase ygjR OS=Escherichia coli (strain K12) GN=ygjR PE=3 SV=3,ygjR,136,63
P76231,10313.09727,Uncharacterized protein yeaC OS=Escherichia coli (strain K12) GN=yeaC PE=4 SV=2,yeaC,175,78
P0A8C1,11411.79062,UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1,ybjQ,54,59
