Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
yffS	b2450	CPZ-55 prophage; uncharacterized protein YffS	29.751001	ECK2445	CPZ-55 prophage; uncharacterized protein YffS	P76550	G7280-MONOMER
yfgD	b2495	putative oxidoreductase YfgD	13.399	ECK2491	putative oxidoreductase YfgD	P76569	G7312-MONOMER
yfgG	b2504	nickel/cobalt stress response protein YfgG	7.4620004	ECK2500	nickel/cobalt stress response protein YfgG	P64545	G7315-MONOMER
yfgH	b2505	lipoprotein YfgH	17.705	ECK2501	lipoprotein YfgH	P65290	G7316-MONOMER
yfgI	b2506	nalidixic acid resistance protein YfgI	20.230001	ECK2502	nalidixic acid resistance protein YfgI	P76573	G7317-MONOMER
yfgJ	b2510	zinc ribbon domain-containing protein YfgJ	7.9940004	ECK2506	zinc ribbon domain-containing protein YfgJ	P76575	G7318-MONOMER
yfgM	b2513	ancillary SecYEG translocon subunit	22.176	ECK2509	ancillary SecYEG translocon subunit	P76576	G7321-MONOMER
yfgO	b2493	putative transporter YfgO	39.194	ECK2489	putative transporter YfgO	P0AFI9	G7310-MONOMER
yfhH	b2561	putative DNA-binding transcriptional regulator YfhH	30.707	ECK2559	putative DNA-binding transcriptional regulator YfhH	P37767	EG12308-MONOMER
yfhL	b2562	putative 4Fe-4S cluster-containing protein YfhL	9.791	ECK2560	putative 4Fe-4S cluster-containing protein YfhL	P52102	G7346-MONOMER
yfhM	b2520	&alpha;<sub>2</sub>-macroglobulin	181.58401	ECK2516	&alpha;<sub>2</sub>-macroglobulin	P76578	G7323-MONOMER
yfhR	b2534	putative peptidase	31.516	ECK2531	putative peptidase	P77538	G7328-MONOMER
yfiB	b2605	lipoprotein YfiB	17.245	ECK2602	lipoprotein YfiB	P07021	EG11152-MONOMER
yfiC	b2575	tRNA m<sup>6</sup>A37 methyltransferase	27.27	ECK2573	tRNA m<sup>6</sup>A37 methyltransferase	P31825	EG11538-MONOMER
yfiE	b2577	putative LysR-type DNA-binding transcriptional regulator YfiE	33.243	ECK2575	putative LysR-type DNA-binding transcriptional regulator YfiE	P33634	EG11785-MONOMER
yfiF	b2581	putative methyltransferase YfiF	37.784	ECK2579	putative methyltransferase YfiF	P0AGJ5	EG11786-MONOMER
yfiH	b2593	purine nucleoside phosphorylase YfiH	26.339	ECK2591	purine nucleoside phosphorylase YfiH	P33644	EG12097-MONOMER
yfiL	b2602	DUF2799 domain-containing lipoprotein YfiL	13.204	ECK2599	DUF2799 domain-containing lipoprotein YfiL	P11289	EG12446-MONOMER
yfiM	b2586	DUF2279 domain-containing protein YfiM	11.805	ECK2584	DUF2279 domain-containing protein YfiM	P46126	EG12857-MONOMER
yfiR	b2603	DUF4154 domain-containing protein YfiR	18.978	ECK2600	DUF4154 domain-containing protein YfiR	P64548	G7354-MONOMER
yfiS	b4783	protein YfiS	2.1620002	ECK4639	protein YfiS	P0DSG1	MONOMER0-4495
yfjD	b4461	UPF0053 family inner membrane protein YfjD	48.044003	ECK2609	UPF0053 family inner membrane protein YfjD	P37908	G7356-MONOMER
yfjF	b2618	putative component of the Rsx system	10.7890005	ECK2614	putative component of the Rsx system	P52119	G7357-MONOMER
yfjH	b2623	CP4-57 prophage; uncharacterized protein YfjH	37.139	ECK2619	CP4-57 prophage; uncharacterized protein YfjH	P52123	G7359-MONOMER
yfjI	b2625	CP4-57 prophage; DUF3987 domain-containing protein YfjI	54.027004	ECK2621	CP4-57 prophage; DUF3987 domain-containing protein YfjI	P52124	G7360-MONOMER
yfjJ	b2626	CP4-57 prophage; protein YfjJ	24.561	ECK2622	CP4-57 prophage; protein YfjJ	P52125	G7361-MONOMER
yfjM	b2629	CP4-57 prophage; protein YfjM	9.967	ECK2625	CP4-57 prophage; protein YfjM	P52128	G7364-MONOMER
yfjP	b2632	CP4-57 prophage; putative GTP-binding protein YfjP	32.094	ECK2628	CP4-57 prophage; putative GTP-binding protein YfjP	P52131	G7367-MONOMER
yfjQ	b2633	CP4-57 prophage; DUF932 domain-containing protein YfjQ	31.255001	ECK2629	CP4-57 prophage; DUF932 domain-containing protein YfjQ	P52132	G7368-MONOMER
yfjR	b2634	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR	26.606	ECK2630	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR	P52133	G7369-MONOMER
yfjS	b2636	CP4-57 prophage; inner membrane lipoprotein YfjS	16.735	ECK2632	CP4-57 prophage; inner membrane lipoprotein YfjS	O52982	G7371-MONOMER
yfjT	b2637	CP4-57 prophage; uncharacterized protein YfjT	17.099	ECK2633	CP4-57 prophage; uncharacterized protein YfjT	P52135	G7372-MONOMER
yfjU	b2638	CP4-57 prophage; putative arsenate reductase-like protein YfjU	11.824	ECK2634	CP4-57 prophage; putative arsenate reductase-like protein YfjU	P0CF86	G7373-MONOMER
yfjW	b2642	CP4-57 prophage; uncharacterized protein YfjW	64.19601	ECK2638	CP4-57 prophage; uncharacterized protein YfjW	P52138	G7377-MONOMER
yfjX	b2643	CP4-57 prophage; putative antirestriction protein YfjX	17.303001	ECK2639	CP4-57 prophage; putative antirestriction protein YfjX	P52139	G7378-MONOMER
yfjY	b2644	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	17.964	ECK2640	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	P52140	G7379-MONOMER
yfjZ	b2645	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	11.737	ECK2642	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	P52141	G7380-MONOMER
ygaC	b2671	DUF2002 domain-containing protein YgaC	13.066001	ECK2665	DUF2002 domain-containing protein YgaC	P0AD53	EG12201-MONOMER
ygaH	b2683	L-valine exporter, YgaH component	12.024	ECK2677	L-valine exporter, YgaH component	P43667	G7406-MONOMER
ygaM	b2672	DUF883 domain-containing protein YgaM	11.847	ECK2666	DUF883 domain-containing protein YgaM	P0ADQ7	B0899-MONOMER
ygaP	b2668	thiosulfate sulfurtransferase YgaP	18.639	ECK2662	thiosulfate sulfurtransferase YgaP	P55734	G7398-MONOMER
ygaV	b2667	putative DNA-binding transcriptional regulator YgaV	10.596001	ECK2661	putative DNA-binding transcriptional regulator YgaV	P77295	G7397-MONOMER
ygaZ	b2682	L-valine exporter, YgaZ component	26.108002	ECK2676	L-valine exporter, YgaZ component	P76630	G7405-MONOMER
ygbA	b2732	protein YgbA	13.940001	ECK2727	protein YgbA	P25728	EG11287-MONOMER
ygbE	b2749	DUF3561 domain-containing inner membrane protein YgbE	12.017	ECK2744	DUF3561 domain-containing inner membrane protein YgbE	P46141	EG12707-MONOMER
ygbI	b2735	DNA-binding transcriptional repressor YgbI	27.435001	ECK2730	DNA-binding transcriptional repressor YgbI	P52598	G7416-MONOMER
ygbJ	b2736	putative L-threonate dehydrogenase	30.751001	ECK2731	putative L-threonate dehydrogenase	Q46888	G7417-MONOMER
ygbK	b2737	putative 3-oxo-tetronate kinase YgbK	41.339	ECK2732	putative 3-oxo-tetronate kinase YgbK	Q46889	G7418-MONOMER
ygbL	b2738	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL	23.222002	ECK2733	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL	Q46890	G7419-MONOMER
ygbM	b2739	putative 2-oxo-tetronate isomerase YgbM	29.217001	ECK2734	putative 2-oxo-tetronate isomerase YgbM	Q46891	G7420-MONOMER
ygbN	b2740	putative transporter YgbN	46.77	ECK2735	putative transporter YgbN	Q46892	B2740-MONOMER
ygcE	b2776	putative sugar kinase YgcE	54.177002	ECK2770	putative sugar kinase YgcE	P55138	G7442-MONOMER
ygcG	b2778	TPM domain-containing protein YgcG	32.206	ECK2772	TPM domain-containing protein YgcG	P55140	G7444-MONOMER
ygcN	b2766	putative oxidoreductase with FAD/NAD(P)-binding domain	46.393	ECK2761	putative oxidoreductase with FAD/NAD(P)-binding domain	Q46904	G7432-MONOMER
ygcO	b2767	putative 4Fe-4S cluster-containing protein	9.662001	ECK2762	putative 4Fe-4S cluster-containing protein	Q46905	G7433-MONOMER
ygcP	b2768	putative anti-terminator regulatory protein	20.786001	ECK2763	putative anti-terminator regulatory protein	Q46906	G7434-MONOMER
ygcQ	b2769	putative flavoprotein	30.308	ECK2764	putative flavoprotein	Q46907	G7435-MONOMER
ygcR	b2770	putative flavoprotein	28.720001	ECK2765	putative flavoprotein	Q46908	G7436-MONOMER
ygcS	b2771	putative transporter YgcS	48.234	ECK2766	putative transporter YgcS	Q46909	B2771-MONOMER
ygcU	b4463	putative FAD-containing dehydrogenase	53.737003	ECK2767	putative FAD-containing dehydrogenase	Q46911	G7439-MONOMER
ygcW	b2774	putative deoxygluconate dehydrogenase	28.042002	ECK2768	putative deoxygluconate dehydrogenase	P76633	G7440-MONOMER
ygdB	b2824	DUF2509 domain-containing protein YgdB	14.973001	ECK2820	DUF2509 domain-containing protein YgdB	P08370	EG11155-MONOMER
ygdD	b2807	DUF423 domain-containing inner membrane protein YgdD	14.333001	ECK2802	DUF423 domain-containing inner membrane protein YgdD	P0ADR2	EG11793-MONOMER
ygdG	b2798	flap endonuclease	28.166002	ECK2793	flap endonuclease	P38506	EG12372-MONOMER
ygdI	b2809	DUF903 domain-containing lipoprotein YgdI	8.174001	ECK2805	DUF903 domain-containing lipoprotein YgdI	P65292	G7453-MONOMER
ygdQ	b2832	PF03741 family inner membrane protein YgdQ	26.157001	ECK2828	PF03741 family inner membrane protein YgdQ	P67127	G7460-MONOMER
ygdR	b2833	DUF903 domain-containing lipoprotein YgdR	7.8770003	ECK2829	DUF903 domain-containing lipoprotein YgdR	P65294	G7461-MONOMER
ygdT	b4610	hypothetical protein YgdT	5.2310004	ECK4419	hypothetical protein YgdT		MONOMER0-2825
ygeA	b2840	amino acid racemase YgeA	25.248001	ECK2838	amino acid racemase YgeA	P03813	EG11157-MONOMER
ygeG	b2851	TPR repeat-containing putative chaperone YgeG	19.093	ECK2849	TPR repeat-containing putative chaperone YgeG	Q46787	G7471-MONOMER
ygeH	b2852	putative transcriptional regulator YgeH	52.753002	ECK2850	putative transcriptional regulator YgeH	P76639	G7472-MONOMER
ygeI	b2853	protein YgeI	8.055	ECK2851	protein YgeI	Q46789	G7473-MONOMER
ygeQ	b2863	putative lipoprotein YgeQ	29.513	ECK2859	putative lipoprotein YgeQ	Q46797	G7483-MONOMER
ygeV	b2869	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	66.096	ECK2865	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	Q46802	G7488-MONOMER
ygeW	b2870	putative carbamoyltransferase YgeW	44.187	ECK2866	putative carbamoyltransferase YgeW	Q46803	G7489-MONOMER
ygeX	b2871	2,3-diaminopropionate ammonia-lyase	43.328003	ECK2867	2,3-diaminopropionate ammonia-lyase	P66899	G7490-MONOMER
ygeY	b2872	putative peptidase YgeY	44.804	ECK2868	putative peptidase YgeY	P65807	G7491-MONOMER
ygfB	b2909	PF03695 family protein YgfB	21.230001	ECK2904	PF03695 family protein YgfB	P0A8C4	EG11323-MONOMER
ygfF	b2902	putative oxidoreductase YgfF	25.938002	ECK2897	putative oxidoreductase YgfF	P52037	G7514-MONOMER
ygfK	b2878	putative oxidoreductase, Fe-S subunit	115.58101	ECK2874	putative oxidoreductase, Fe-S subunit	Q46811	G7497-MONOMER
ygfM	b2880	putative oxidoreductase	28.650002	ECK2876	putative oxidoreductase	P64557	G7499-MONOMER
ygfS	b2886	putative electron transport protein YgfS	17.513	ECK2881	putative electron transport protein YgfS	Q46819	G7505-MONOMER
ygfT	b2887	putative oxidoreductase YgfT	69.089005	ECK2882	putative oxidoreductase YgfT	Q46820	G7506-MONOMER
ygfX	b2896	protein YgfX	16.064001	ECK2891	protein YgfX	Q46824	G7509-MONOMER
ygfZ	b2898	folate-binding protein YgfZ	36.094	ECK2893	folate-binding protein YgfZ	P0ADE8	G7511-MONOMER
yggC	b2928	P-loop NTPase domain-containing protein YggC	27.132002	ECK2924	P-loop NTPase domain-containing protein YggC	P11664	EG11161-MONOMER
yggE	b2922	DUF541 domain-containing protein YggE	26.635002	ECK2918	DUF541 domain-containing protein YggE	P0ADS6	EG11244-MONOMER
yggF	b2930	fructose 1,6-bisphosphatase YggF	34.323	ECK2926	fructose 1,6-bisphosphatase YggF	P21437	EG11245-MONOMER
yggI	b2944	protein YggI	19.348001	ECK2939	protein YggI	P39902	EG12122-MONOMER
yggL	b2959	putative ribosome assembly factor YggL	12.8810005	ECK2954	putative ribosome assembly factor YggL	P38521	EG12443-MONOMER
yggM	b2956	DUF1202 domain-containing protein YggM	38.459003	ECK2951	DUF1202 domain-containing protein YggM	P46142	EG12704-MONOMER
yggN	b2958	DUF2884 domain-containing protein YggN	26.429	ECK2953	DUF2884 domain-containing protein YggN	P0ADS9	EG12705-MONOMER
yggP	b4465	putative zinc-binding dehydrogenase YggP	45.818	ECK2927	putative zinc-binding dehydrogenase YggP	P52048	G7520-MONOMER
yggR	b2950	Type II/IV secretion system family protein	35.994003	ECK2945	Type II/IV secretion system family protein	P52052	G7526-MONOMER
yggS	b2951	PLP homeostasis protein	25.787	ECK2946	PLP homeostasis protein	P67080	G7527-MONOMER
yggT	b2952	uncharacterized protein YggT	21.167002	ECK2947	uncharacterized protein YggT	P64564	G7528-MONOMER
yggU	b2953	DUF167 domain-containing protein YggU	10.456	ECK2948	DUF167 domain-containing protein YggU	P52060	G7529-MONOMER
yggX	b2962	putative Fe<sup>2+</sup>-trafficking protein	10.953	ECK2957	putative Fe<sup>2+</sup>-trafficking protein	P0A8P3	G7532-MONOMER
yghA	b3003	NADP<sup>+</sup>-dependent aldehyde reductase	31.488	ECK2997	NADP<sup>+</sup>-dependent aldehyde reductase	P0AG84	EG11292-MONOMER
yghB	b3009	DedA family protein YghB	24.134	ECK3001	DedA family protein YghB	P0AA60	EG11824-MONOMER
yghD	b2968	putative type II secretion system M-type protein YghD	20.395	ECK2963	putative type II secretion system M-type protein YghD	Q46832	G7535-MONOMER
yghE	b2969	putative type II secretion system L-type protein YghE	32.058002	ECK2964	putative type II secretion system L-type protein YghE	Q46833	G7536-MONOMER
yghF	b2970	putative type II secretion system C-type protein YghF	37.349003	ECK2965	putative type II secretion system C-type protein YghF	Q46834	G7537-MONOMER
yghG	b2971	lipoprotein YghG	14.670001	ECK2966	lipoprotein YghG	Q46835	G7538-MONOMER
yghJ	b4466	putative lipoprotein YghJ	167.24501	ECK2968	putative lipoprotein YghJ	P0CK95	G7541-MONOMER
yghO	b2981	putative DNA-binding transcriptional regulator YghO	44.674004	ECK2976	putative DNA-binding transcriptional regulator YghO	Q46840	G7547-MONOMER
yghQ	b2983	putative transport protein YghQ	38.533	ECK2977	putative transport protein YghQ	Q46841	G7549-MONOMER
yghR	b2984	putative ATP-binding protein YghR	28.151001	ECK2978	putative ATP-binding protein YghR	P64572	G7550-MONOMER
yghS	b2985	putative ATP-binding protein YghS	26.347002	ECK2979	putative ATP-binding protein YghS	Q46843	G7551-MONOMER
yghT	b2986	putative ATP-binding protein YghT	25.356	ECK2980	putative ATP-binding protein YghT	Q46844	G7552-MONOMER
yghU	b2989	disulfide reductase / organic hydroperoxide reductase	32.392002	ECK2983	disulfide reductase / organic hydroperoxide reductase	Q46845	G7553-MONOMER
yghW	b2998	DUF2623 domain-containing protein YghW	10.945001	ECK2992	DUF2623 domain-containing protein YghW	P64574	G7555-MONOMER
ygiB	b3037	DUF1190 domain-containing protein YgiB	23.479002	ECK3028	DUF1190 domain-containing protein YgiB	P0ADT2	EG11164-MONOMER
ygiC	b3038	peptide&mdash;spermidine ligase YgiC	45.026	ECK3029	peptide&mdash;spermidine ligase YgiC	P0ADT5	EG11165-MONOMER
ygiD	b3039	4,5-DOPA dioxygenase extradiol	29.903002	ECK3030	4,5-DOPA dioxygenase extradiol	P24197	EG11166-MONOMER
ygiF	b3054	inorganic triphosphatase	48.389004	ECK3044	inorganic triphosphatase	P30871	EG11603-MONOMER
ygiL	b3043	putative fimbrial protein YgiL	19.494001	ECK3034	putative fimbrial protein YgiL	P39834	EG12363-MONOMER
ygiM	b3055	putative signal transduction protein (SH3 domain)	23.076	ECK3045	putative signal transduction protein (SH3 domain)	P0ADT8	EG12434-MONOMER
ygiN	b3029	putative quinol monooxygenase YgiN	11.532001	ECK3020	putative quinol monooxygenase YgiN	P0ADU2	EG12657-MONOMER
ygiQ	b4469	radical SAM superfamily protein YgiQ	83.478004	ECK3007	radical SAM superfamily protein YgiQ	Q46861	G7568-MONOMER
ygiS	b3020	putative deoxycholate binding periplasmic protein	60.694004	ECK3011	putative deoxycholate binding periplasmic protein	Q46863	YGIS-MONOMER
ygiV	b3023	DNA-binding transcriptional repressor YgiV	17.827002	ECK3014	DNA-binding transcriptional repressor YgiV	Q46866	G7573-MONOMER
ygiW	b3024	BOF family protein YgiW	14.011001	ECK3015	BOF family protein YgiW	P0ADU5	G7574-MONOMER
ygiZ	b3027	DUF2645 domain-containing inner membrane protein YgiZ	13.201	ECK3018	DUF2645 domain-containing inner membrane protein YgiZ	Q46867	G7577-MONOMER
ygjH	b3074	putative tRNA-binding protein YgjH	12.315001	ECK3064	putative tRNA-binding protein YgjH	P42589	G7597-MONOMER
ygjI	b3078	putative transporter YgjI	52.147003	ECK3068	putative transporter YgjI	P42590	YGJI-MONOMER
ygjJ	b3079	protein YgjJ	40.099003	ECK3069	protein YgjJ	P42591	G7598-MONOMER
ygjK	b3080	glycoside hydrolase	88.32101	ECK3070	glycoside hydrolase	P42592	G7599-MONOMER
ygjP	b3085	putative metal-dependent hydrolase	19.483002	ECK3075	putative metal-dependent hydrolase	P42597	G7604-MONOMER
ygjQ	b3086	DUF218 domain-containing protein YgjQ	25.480001	ECK3076	DUF218 domain-containing protein YgjQ	P42598	G7605-MONOMER
ygjR	b3087	putative oxidoreductase YgjR	36.214	ECK3077	putative oxidoreductase YgjR	P42599	G7606-MONOMER
ygjV	b3090	inner membrane protein	20.512001	ECK3081	inner membrane protein	P42603	G7608-MONOMER
yhaB	b3120	protein YhaB	20.577002	ECK3109	protein YhaB	P11865	EG11173-MONOMER
yhaC	b3121	uncharacterized protein YhaC	45.251003	ECK3110	uncharacterized protein YhaC	P11864	EG11174-MONOMER
yhaH	b3103	putative inner membrane protein	14.281001	ECK3094	putative inner membrane protein	P64590	G7617-MONOMER
yhaI	b3104	putative inner membrane protein	13.456	ECK3095	putative inner membrane protein	P64592	G7618-MONOMER
yhaJ	b3105	DNA-binding transcriptional activator YhaJ	33.256	ECK3096	DNA-binding transcriptional activator YhaJ	P67660	G7619-MONOMER
yhaK	b3106	bicupin-related protein	25.895	ECK3097	bicupin-related protein	P42624	G7620-MONOMER
yhaL	b3107	uncharacterized protein YhaL	5.9610004	ECK3098	uncharacterized protein YhaL	P42625	G7621-MONOMER
yhaV	b3130	ribosome-dependent mRNA interferase toxin YhaV	17.836	ECK3118	ribosome-dependent mRNA interferase toxin YhaV	P64594	G7629-MONOMER
yhbE	b3184	putative transporter YhbE	34.963	ECK3173	putative transporter YhbE	P0AA73	EG11499-MONOMER
yhbO	b3153	protein/nucleic acid deglycase 2	18.858002	ECK3141	protein/nucleic acid deglycase 2	P45470	G7647-MONOMER
yhbP	b3154	putative FMN binding protein YhbP	16.776001	ECK3142	putative FMN binding protein YhbP	P67762	G7648-MONOMER
yhbQ	b3155	DNA damage response nuclease YhbQ	11.27	ECK3143	DNA damage response nuclease YhbQ	P45472	G7649-MONOMER
yhbS	b3156	putative <i>N</i>-acetyltransferase YhbS	18.534	ECK3144	putative <i>N</i>-acetyltransferase YhbS	P63417	G7650-MONOMER
yhbW	b3160	putative luciferase-like monooxygenase YhbW	37.129	ECK3148	putative luciferase-like monooxygenase YhbW	P0ADV5	G7654-MONOMER
yhbX	b3173	putative hydrolase YhbX	60.753002	ECK3162	putative hydrolase YhbX	P42640	G7655-MONOMER
yhbY	b3180	ribosome assembly factor YhbY	10.784	ECK3169	ribosome assembly factor YhbY	P0AGK4	EG12794-MONOMER
yhcA	b3215	putative fimbrial chaperone YhcA	25.339	ECK3205	putative fimbrial chaperone YhcA	P28722	EG11515-MONOMER
yhcC	b3211	radical SAM family oxidoreductase YhcC	34.607002	ECK3201	radical SAM family oxidoreductase YhcC	P0ADW6	G7669-MONOMER
yhcD	b3216	putative fimbrial usher protein YhcD	86.289	ECK3206	putative fimbrial usher protein YhcD	P45420	G7670-MONOMER
yhcF	b3219	DUF1120 domain-containing protein YhcF	24.900002	ECK3208	DUF1120 domain-containing protein YhcF	P45422	G7673-MONOMER
yhcG	b3220	DUF1016 domain-containing protein YhcG	43.293003	ECK3209	DUF1016 domain-containing protein YhcG	P45423	G7674-MONOMER
yhcN	b3238	DUF1471 domain-containing stress-induced protein YhcN	9.196	ECK3227	DUF1471 domain-containing stress-induced protein YhcN	P64614	G7683-MONOMER
yhcO	b3239	putative barnase inhibitor	10.7960005	ECK3228	putative barnase inhibitor	P64616	G7684-MONOMER
yhdE	b3248	nucleoside triphosphate pyrophosphatase YhdE	21.515001	ECK3236	nucleoside triphosphate pyrophosphatase YhdE	P25536	EG11298-MONOMER
yhdH	b3253	acrylyl-CoA reductase	34.724003	ECK3241	acrylyl-CoA reductase	P26646	EG11315-MONOMER
yhdJ	b3262	DNA adenine methyltransferase	33.397003	ECK3249	DNA adenine methyltransferase	P28638	EG11498-MONOMER
yhdN	b3293	DUF1992 domain-containing protein YhdN	13.945001	ECK3280	DUF1992 domain-containing protein YhdN	P36677	EG11970-MONOMER
yhdP	b4472	phospholipid transport factor YhdP	139.05301	ECK3234	phospholipid transport factor YhdP	P46474	G7690-MONOMER
yhdT	b3257	DUF997 domain-containing protein YhdT	9.098001	ECK3244	DUF997 domain-containing protein YhdT	P45566	G7693-MONOMER
yhdU	b3263	DUF2556 domain-containing protein YhdU	7.2040005	ECK3250	DUF2556 domain-containing protein YhdU	P64619	G7694-MONOMER
yhdV	b3267	lipoprotein YhdV	7.452	ECK3254	lipoprotein YhdV	P64622	G7695-MONOMER
yhdX	b3269	putative ABC transporter membrane subunit YhdX	43.261	ECK3256	putative ABC transporter membrane subunit YhdX	P45767	YHDX-MONOMER
yhdY	b3270	putative ABC transporter membrane subunit YhdY	41.484	ECK3257	putative ABC transporter membrane subunit YhdY	P45768	YHDY-MONOMER
yhdZ	b3271	putative ABC transporter ATP-binding subunit YhdZ	28.574001	ECK3258	putative ABC transporter ATP-binding subunit YhdZ	P45769	YHDZ-MONOMER
yheO	b3346	DNA-binding transcriptional regulator YheO	26.821001	ECK3333	DNA-binding transcriptional regulator YheO	P64624	G7715-MONOMER
yheS	b3352	putative ATP-binding protein YheS	71.843	ECK3340	putative ATP-binding protein YheS	P63389	YHES-MONOMER
yheT	b3353	putative hydrolase YheT	38.495003	ECK3341	putative hydrolase YheT	P45524	G7718-MONOMER
yheU	b3354	PF06794 family protein YheU	8.47	ECK3342	PF06794 family protein YheU	P67624	G7719-MONOMER
yheV	b4551	DUF2387 domain-containing protein YheV	7.5990005	ECK3337	DUF2387 domain-containing protein YheV	P0ADW8	MONOMER0-2688
yhfA	b3356	OsmC family protein YhfA	14.517001	ECK3344	OsmC family protein YhfA	P0ADX1	EG11182-MONOMER
yhfG	b3362	DUF2559 domain-containing protein YhfG	6.5990005	ECK3350	DUF2559 domain-containing protein YhfG	P0ADX5	EG12374-MONOMER
yhfK	b3358	putative transporter YhfK	79.972	ECK3346	putative transporter YhfK	P45537	G7721-MONOMER
yhfL	b3369	DUF4223 domain-containing lipoprotein YhfL	5.8190002	ECK3357	DUF4223 domain-containing lipoprotein YhfL	P64627	G7722-MONOMER
yhfS	b3376	putative aminotransferase YhfS	38.599003	ECK3363	putative aminotransferase YhfS	P45545	G7728-MONOMER
yhfT	b3377	uncharacterized protein YhfT	46.516003	ECK3364	uncharacterized protein YhfT	P45546	G7729-MONOMER
yhfU	b3378	DUF2620 domain-containing protein YhfU	12.479001	ECK3365	DUF2620 domain-containing protein YhfU	P64631	G7730-MONOMER
yhfW	b3380	putative mutase YhfW	44.56	ECK3367	putative mutase YhfW	P45549	G7732-MONOMER
yhfX	b3381	putative PLP-binding protein YhfX	42.294003	ECK3368	putative PLP-binding protein YhfX	P45550	G7733-MONOMER
yhfY	b3382	PRD domain-containing protein YhfY	13.528001	ECK3369	PRD domain-containing protein YhfY	P45551	G7734-MONOMER
yhfZ	b3383	putative DNA-binding transcriptional regulator YhfZ	33.504	ECK3370	putative DNA-binding transcriptional regulator YhfZ	P45552	G7735-MONOMER
yhgE	b3402	putative transport protein YhgE	64.637	ECK3389	putative transport protein YhgE	P45804	G7745-MONOMER
yhgF	b3407	RNA-binding protein YhgF	85.12	ECK3394	RNA-binding protein YhgF	P46837	G7746-MONOMER
yhgH	b3413	DNA utilization protein YhgH	25.726002	ECK3400	DNA utilization protein YhgH	P46846	G7747-MONOMER
yhgN	b3434	MarC family putative inner membrane protein YhgN	21.490002	ECK3420	MarC family putative inner membrane protein YhgN	P67143	G7753-MONOMER
yhgO	b4788	protein YhgO	1.5760001	ECK4645	protein YhgO	P0DSG6	MONOMER0-4500
yhgP	b4789	protein YhgP	1.0430001	ECK4646	protein YhgP	P0DSG7	MONOMER0-4501
yhhA	b3448	DUF2756 domain-containing protein YhhA	16.624	ECK3432	DUF2756 domain-containing protein YhhA	P0ADX7	EG11184-MONOMER
yhhH	b3483	PF15631 family protein YhhH	14.531001	ECK3467	PF15631 family protein YhhH	P28911	EG11520-MONOMER
yhhI	b3484	putative transposase	43.146004	ECK3469	putative transposase	P28912	EG11525-MONOMER
yhhJ	b3485	ABC transporter family protein YhhJ	41.062	ECK3470	ABC transporter family protein YhhJ	P0AGH1	YHHJ-MONOMER
yhhL	b3466	DUF1145 domain-containing protein YhhL	10.252001	ECK3450	DUF1145 domain-containing protein YhhL	P37614	EG12212-MONOMER
yhhM	b3467	DUF2500 domain-containing protein YhhM	13.496	ECK3451	DUF2500 domain-containing protein YhhM	P37615	EG12213-MONOMER
yhhN	b3468	PF07947 family protein YhhN	23.791	ECK3452	PF07947 family protein YhhN	P0ADI9	EG12214-MONOMER
yhhQ	b3471	queuosine precursor transporter	25.269001	ECK3455	queuosine precursor transporter	P37619	EG12217-MONOMER
yhhS	b3473	putative transporter YhhS	42.156002	ECK3457	putative transporter YhhS	P37621	YHHS-MONOMER
yhhT	b3474	putative transporter YhhT	38.522003	ECK3458	putative transporter YhhT	P0AGM0	EG12220-MONOMER
yhhW	b3439	quercetin 2,3-dioxygenase	26.279001	ECK3424	quercetin 2,3-dioxygenase	P46852	G7756-MONOMER
yhhX	b3440	putative oxidoreductase YhhX	38.765003	ECK3425	putative oxidoreductase YhhX	P46853	G7757-MONOMER
yhhY	b3441	<i>N</i>-acetyltransferase YhhY	18.794	ECK3427	<i>N</i>-acetyltransferase YhhY	P46854	G7758-MONOMER
yhhZ	b3442	putative endonuclease YhhZ	44.231003	ECK3428	putative endonuclease YhhZ	P46855	G7759-MONOMER
yhiD	b3508	inner membrane protein YhiD	23.213001	ECK3492	inner membrane protein YhiD	P0AFV2	EG11400-MONOMER
yhiI	b3487	putative membrane fusion protein YhiI	38.828003	ECK3472	putative membrane fusion protein YhiI	P37626	EG12224-MONOMER
yhiJ	b3488	DUF4049 domain-containing protein YhiJ	61.164	ECK3473	DUF4049 domain-containing protein YhiJ	P37627	EG12225-MONOMER
yhiM	b3491	inner membrane protein YhiM	37.657	ECK3476	inner membrane protein YhiM	P37630	MONOMER0-2489
yhiN	b3492	putative oxidoreductase YhiN	43.741	ECK3477	putative oxidoreductase YhiN	P37631	EG12229-MONOMER
yhiY	b4790	protein YhiY	4.1530004	ECK4647	protein YhiY	P0DSG8	MONOMER0-4502
